feature,COPD_mean,COPD_std,COPD-PH_mean,COPD-PH_std,t_stat,p_value,significant
vascular__pruning_index,0.9222010988661468,0.0660052144040189,0.7687394714423557,0.1709311855376837,8.329580837062085,9.278200499821005e-13,***
vascular__mean_diameter,1.5833105784505936,0.18113202066114778,2.0277187297984,1.039840559339974,-5.09025547583838,8.503222918959864e-07,***
vascular__median_diameter,1.3644510237390255,0.13843551069890997,1.709887596450113,1.0182448175722378,-4.1779743386054085,4.4509727987666965e-05,***
vascular__bv5,0.011861078699783398,0.006880061297037413,0.034175492101295675,0.08725931193079058,-3.2684833300125335,0.0012939782301787531,**
vascular__bv10,0.011861078699783398,0.006880061297037413,0.04693348904922042,0.15309117267311967,-2.967502698602207,0.0034269104761832894,**
vascular__vessel_to_lung_ratio,0.011861078699783398,0.006880061297037413,0.05264678878293636,0.18192652264431308,-2.9094795866947787,0.00409870595872799,**
vascular__lung_volume_ml,4418.099032293053,1658.4660740855454,3358.0342096597356,1524.7266476631646,3.066999845995564,0.004390850146193876,**
graph__num_edges,368.15384615384613,216.4217534921464,537.435294117647,537.6305774416192,-2.8606635141169363,0.0053404584211892365,**
vascular__bv5_absolute_ml,43.29325774443298,9.988061914830993,91.4863781477015,229.49204777370625,-2.7212533348009322,0.007168356488713628,**
airway__airway_count,976.7692307692307,1013.5372240896655,425.3941176470588,503.79621945229394,2.722950780423311,0.011214210606977863,*
airway__airway_to_lung_ratio,0.0030762879746187685,0.0018140249409956276,0.00417625424146173,0.003542194271572284,-2.4573177270750604,0.01692271259180707,*
vascular__bv10_absolute_ml,43.29325774443298,9.988061914830993,129.1781996341867,463.7197087175384,-2.411172263711234,0.016966654325969496,*
vascular__total_vessel_volume_ml,43.29325774443298,9.988061914830993,147.5460604925153,596.5713676250831,-2.2764188493760384,0.024070980697097153,*
vascular__artery_volume_ml,23.964130861635304,6.806457780591347,127.34316594768667,599.5765260434208,-2.2471363199903194,0.025923193212016183,*
airway__wall_thickness_ratio,0.6863474315167246,0.09744295851031248,0.6371836306970298,0.15503514526400422,2.18433534677101,0.03395413345225515,*
airway__wall_area_pct,68.63474315167245,9.744295851031248,63.718363069702974,15.503514526400421,2.184335346771007,0.03395413345225537,*
vascular__std_diameter,1.047495962548721,0.7866253651806643,1.4221841807099924,1.0605671807845962,-2.148429718074845,0.03773080393932068,*
vascular__artery_vein_ratio,1.2505146610058036,0.30430244675125034,96332934045.85454,604311484148.4778,-2.078444351289241,0.0391795191619278,*
graph__num_nodes,234.69230769230768,105.2405888355892,285.7470588235294,182.82183462636613,-2.046131202763135,0.04583806935848254,*
vascular__num_total_branches,118.03846153846153,53.03544533176337,143.59411764705882,92.02401905772412,-2.033116507489324,0.04718969132039205,*
vascular__vein_volume_ml,19.329126882797663,4.064308264304221,20.20289454482863,10.989900272372665,-0.7531950579342095,0.4532018618928635,
vascular__num_small_branches,108.26923076923077,49.10442561912944,113.30588235294118,76.77532325592101,-0.44620489689498516,0.6575321715629786,
airway__airway_volume_ml,12.648110427150547,7.756526576086137,12.414290266581808,8.8289923095289,0.14042494237344583,0.8891139710603354,
parenchyma__laa_pct,0.0,0.0,0.0,0.0,,,
parenchyma__mean_lung_density,0.0,0.0,0.0,0.0,,,
airway__mean_airway_hu,0.0,0.0,0.0,0.0,,,
